No,No,大項目,中項目,小項目
0,1,営業,IT営業,IT法人営業（直販）
1,2,営業,IT営業,IT法人営業（代理店）
2,3,営業,IT営業,Web系ソリューション営業
3,4,営業,IT営業,IT個人営業
4,5,営業,半導体・電子部品・エレクトロニクス製品営業,半導体・電子部品・エレクトロニクス製品営業（国内）
5,6,営業,半導体・電子部品・エレクトロニクス製品営業,半導体・電子部品・エレクトロニクス製品営業（海外）
6,7,営業,自動車・装置・機械製品営業,装置・工作機械・産業機械営業（国内）
7,8,営業,自動車・装置・機械製品営業,装置・工作機械・産業機械営業（海外）
8,9,営業,自動車・装置・機械製品営業,精密機械・計測機器・分析機器・光学製品営業（国内）
9,10,営業,自動車・装置・機械製品営業,精密機械・計測機器・分析機器・光学製品営業（海外）
10,11,営業,自動車・装置・機械製品営業,自動車・建機・自動車部品営業（国内）
11,12,営業,自動車・装置・機械製品営業,自動車・建機・自動車部品営業（海外）
12,13,営業,原料・素材・化学製品営業,原料・素材・化学製品営業（国内）
13,14,営業,原料・素材・化学製品営業,原料・素材・化学製品営業（海外）
14,15,営業,医療営業,MR
15,16,営業,医療営業,医療機器営業
16,17,営業,医療営業,OTC（一般用医薬品）
17,18,営業,医療営業,MS・医薬品卸・代理店
18,19,営業,医療営業,ライフサイエンス（理化学機器・試薬）
19,20,営業,医療営業,その他医療系営業
20,21,営業,食品・日用品・消費財営業,食品・飲料営業（国内）
21,22,営業,食品・日用品・消費財営業,日用品・化粧品営業（国内）
22,23,営業,食品・日用品・消費財営業,その他消費財営業（国内）
23,24,営業,食品・日用品・消費財営業,食品・飲料・日用品・化粧品・その他消費財営業（海外）
24,25,営業,建設・土木・不動産・住宅営業,建設・不動産法人営業
25,26,営業,建設・土木・不動産・住宅営業,建設・不動産個人営業
26,27,営業,金融営業,金融法人営業
27,28,営業,金融営業,金融個人営業・ファイナンシャルプランナー
28,29,営業,広告・メディア営業,広告・メディア法人営業（新規中心）
29,30,営業,広告・メディア営業,広告・メディア法人営業（既存・ルートセールス中心）
30,31,営業,広告・メディア営業,広告・メディア代理店営業・パートナーセールス
31,32,営業,広告・メディア営業,広告・メディア個人営業
32,33,営業,広告・メディア営業,広告・メディア海外営業
33,34,営業,人材・求人広告営業,派遣営業
34,35,営業,人材・求人広告営業,派遣コーディネーター
35,36,営業,人材・求人広告営業,人材紹介営業
36,37,営業,人材・求人広告営業,求人広告営業
37,38,営業,人材・求人広告営業,キャリアコンサルタント・キャリアアドバイザー
38,39,営業,人材・求人広告営業,ブティック・エグゼクティブ
39,40,営業,人材・求人広告営業,その他人材・コーディネーター・求人広告営業
40,41,営業,その他営業職,その他法人営業（新規中心）
41,42,営業,その他営業職,その他法人営業（既存・ルートセールス中心）
42,43,営業,その他営業職,その他代理店営業・パートナーセールス
43,44,営業,その他営業職,その他個人営業
44,45,営業,その他営業職,その他海外営業
45,46,企画・管理,マーケティング・商品企画・広告宣伝,商品企画・サービス企画
46,47,企画・管理,マーケティング・商品企画・広告宣伝,広告宣伝
47,48,企画・管理,マーケティング・商品企画・広告宣伝,販売促進・PR
48,49,企画・管理,マーケティング・商品企画・広告宣伝,MD
49,50,企画・管理,マーケティング・商品企画・広告宣伝,Webマーケティング（ネット広告・販促PRなど）
50,51,企画・管理,マーケティング・商品企画・広告宣伝,その他マーケティング・商品企画・広告宣伝
51,52,企画・管理,経理・財務・管理会計・内部統制,経理（財務会計）
52,53,企画・管理,経理・財務・管理会計・内部統制,財務
53,54,企画・管理,経理・財務・管理会計・内部統制,管理会計
54,55,企画・管理,経理・財務・管理会計・内部統制,内部統制
55,56,企画・管理,総務・法務・知財・内部監査,総務
56,57,企画・管理,総務・法務・知財・内部監査,法務
57,58,企画・管理,総務・法務・知財・内部監査,知的財産・特許
58,59,企画・管理,総務・法務・知財・内部監査,内部監査
59,60,企画・管理,購買・物流・貿易,購買・調達・バイヤー・MD
60,61,企画・管理,購買・物流・貿易,間接購買・総務購買
61,62,企画・管理,購買・物流・貿易,物流管理（ベンダー管理・配送管理・受発注管理など）
62,63,企画・管理,購買・物流・貿易,SCM企画・物流企画・需要予測
63,64,企画・管理,購買・物流・貿易,貿易業務（輸出入業務・通関など）
64,65,企画・管理,購買・物流・貿易,倉庫管理・在庫管理
65,66,企画・管理,データアナリスト・データサイエンティスト・リサーチャー,リサーチ・市場調査
66,67,企画・管理,データアナリスト・データサイエンティスト・リサーチャー,データアナリスト・データサイエンティスト
67,68,企画・管理,役員・事業統括マネジャー,経営幹部・役員（CFO／CEO／COO）
68,69,企画・管理,役員・事業統括マネジャー,事業統括マネジャー
69,70,企画・管理,経営企画・事業企画・営業企画,経営企画
70,71,企画・管理,経営企画・事業企画・営業企画,事業企画・新規事業開発
71,72,企画・管理,経営企画・事業企画・営業企画,営業企画
72,73,企画・管理,広報・IR,広報
73,74,企画・管理,広報・IR,IR
74,75,企画・管理,人事,人事（採用・教育）
75,76,企画・管理,人事,人事（給与社保）
76,77,企画・管理,人事,人事（労務・人事制度）
77,78,企画・管理,人事,その他人事
78,79,事務／アシスタント,経理事務・財務アシスタント,経理事務・財務アシスタント
79,80,事務／アシスタント,総務・法務・知財・人事アシスタント,総務アシスタント
80,81,事務／アシスタント,総務・法務・知財・人事アシスタント,法務アシスタント
81,82,事務／アシスタント,総務・法務・知財・人事アシスタント,人事アシスタント
82,83,事務／アシスタント,購買・物流・貿易アシスタント,物流・購買アシスタント
83,84,事務／アシスタント,購買・物流・貿易アシスタント,貿易事務
84,85,事務／アシスタント,経営企画／事業統括,マーケティング・広報アシスタント
85,86,事務／アシスタント,経営企画／事業統括,経営企画／事業統括アシスタント
86,87,事務／アシスタント,金融事務,金融事務（銀行・証券）
87,88,事務／アシスタント,金融事務,金融事務（生保・損保）
88,89,事務／アシスタント,金融事務,その他金融事務
89,90,事務／アシスタント,医療事務,医療事務
90,91,事務／アシスタント,秘書・受付,秘書
91,92,事務／アシスタント,秘書・受付,受付
92,93,事務／アシスタント,通訳・翻訳,通訳・翻訳
93,94,事務／アシスタント,営業事務・一般事務,営業事務・アシスタント
94,95,事務／アシスタント,営業事務・一般事務,一般事務・アシスタント
95,96,販売／サービス,店舗・販売,店長
96,97,販売／サービス,店舗・販売,販売・接客・売り場担当
97,98,販売／サービス,店舗・販売,ホールスタッフ・フロアスタッフ・調理スタッフ（飲食）
98,99,販売／サービス,店舗開発・施設管理,施設長
99,100,販売／サービス,店舗開発・施設管理,エリアマネジャー・スーパーバイザー
100,101,販売／サービス,店舗開発・施設管理,店舗開発・FC開発
101,102,販売／サービス,美容関連（理美容・エステ・マッサージ・美容部員）,理美容師・その他美容関連
102,103,販売／サービス,美容関連（理美容・エステ・マッサージ・美容部員）,美容部員・エステティシャン・マッサージ
103,104,販売／サービス,旅行関連,旅行手配員・添乗員・ツアーコンダクター
104,105,販売／サービス,宿泊施設・ホテル,施設管理・マネジメント
105,106,販売／サービス,宿泊施設・ホテル,フロント業務・予約受付
106,107,販売／サービス,宿泊施設・ホテル,その他宿泊施設・ホテル関連
107,108,販売／サービス,運輸・物流サービス,道路旅客・貨物運送
108,109,販売／サービス,運輸・物流サービス,航空・鉄道・船舶運送
109,110,販売／サービス,運輸・物流サービス,倉庫業
110,111,販売／サービス,警備／清掃／監視／保守,清掃・警備・守衛
111,112,販売／サービス,テレマーケティング／カスタマーサポート／コールセンター,スーパーバイザー
112,113,販売／サービス,テレマーケティング／カスタマーサポート／コールセンター,カスタマーサポート・ユーザーサポート・オペレータ
113,114,販売／サービス,教育／スクール／研修／塾講師／専門学校／英会話学校,スクール長・マネジャー
114,115,販売／サービス,教育／スクール／研修／塾講師／専門学校／英会話学校,講師・指導員・インストラクター
115,116,販売／サービス,バイヤー／MD,バイヤー・ディストリビューター
116,117,販売／サービス,バイヤー／MD,マーチャンダイザー
117,118,販売／サービス,ブライダル・葬祭,ブライダルコーディネーター・ウェディングプランナー
118,119,販売／サービス,ブライダル・葬祭,葬祭ディレクター・プランナー
119,120,販売／サービス,ブライダル・葬祭,その他ブライダル・葬祭関連
120,121,コンサルタント／士業,ビジネスコンサルタント,戦略・経営コンサルタント
121,122,コンサルタント／士業,ビジネスコンサルタント,組織・人事コンサルタント
122,123,コンサルタント／士業,ビジネスコンサルタント,業務改革コンサルタント（BPR）
123,124,コンサルタント／士業,ビジネスコンサルタント,リスクコンサルタント
124,125,コンサルタント／士業,ビジネスコンサルタント,その他ビジネスコンサルタント
125,126,コンサルタント／士業,ビジネスコンサルタント,会計コンサルタント・財務アドバイザリー
126,127,コンサルタント／士業,ビジネスコンサルタント,製造業コンサルタント（製品開発・生産技術・品質管理）
127,128,コンサルタント／士業,専門事務所（会計・監査法人・法律・労務）,会計専門職・会計士
128,129,コンサルタント／士業,専門事務所（会計・監査法人・法律・労務）,弁護士
129,130,コンサルタント／士業,専門事務所（会計・監査法人・法律・労務）,弁理士・特許技術者
130,131,コンサルタント／士業,専門事務所（会計・監査法人・法律・労務）,司法書士
131,132,コンサルタント／士業,専門事務所（会計・監査法人・法律・労務）,行政書士
132,133,コンサルタント／士業,専門事務所（会計・監査法人・法律・労務）,社会保険労務士
133,134,コンサルタント／士業,専門事務所（会計・監査法人・法律・労務）,税理士
134,135,金融専門職,開発,金融商品開発
135,136,金融専門職,開発,アクチュアリー
136,137,金融専門職,運用,ディーラー・トレーダー
137,138,金融専門職,運用,ファンドマネジャー
138,139,金融専門職,運用,クオンツ（運用）
139,140,金融専門職,運用,その他運用
140,141,金融専門職,投資銀行,ストラクチャードファイナンス
141,142,金融専門職,投資銀行,公開・引受
142,143,金融専門職,投資銀行,M&A
143,144,金融専門職,投資銀行,その他投資銀行
144,145,金融専門職,投資銀行,プロジェクトファイナンス
145,146,金融専門職,リサーチ,アナリスト
146,147,金融専門職,審査・査定,融資審査（法人）
147,148,金融専門職,審査・査定,融資・契約審査（個人）
148,149,金融専門職,審査・査定,債権回収
149,150,金融専門職,審査・査定,支払査定
150,151,金融専門職,バックオフィス,決済
151,152,金融専門職,バックオフィス,計理
152,153,金融専門職,バックオフィス,カストディ
153,154,金融専門職,バックオフィス,その他バックオフィス
154,155,金融専門職,バックオフィス,約定
155,156,金融専門職,バックオフィス,受渡
156,157,公務員／教員ほか,国家・地方公務員,警察官・消防官・防衛庁職員・自衛官
157,158,公務員／教員ほか,国家・地方公務員,その他公務員
158,159,公務員／教員ほか,教員／日本語教師／学校・大学事務,大学講師
159,160,公務員／教員ほか,教員／日本語教師／学校・大学事務,小・中・高等学校教師
160,161,公務員／教員ほか,教員／日本語教師／学校・大学事務,保育士・幼稚園教諭
161,162,公務員／教員ほか,農林水産関連職,農業／畜産／酪農
162,163,SE／インフラエンジニア／Webエンジニア,ITコンサルタント・システムコンサルタント,ITコンサルタント（アプリ）
163,164,SE／インフラエンジニア／Webエンジニア,ITコンサルタント・システムコンサルタント,ITコンサルタント（インフラ）
164,165,SE／インフラエンジニア／Webエンジニア,プリセールス,プリセールス
165,166,SE／インフラエンジニア／Webエンジニア,業務系アプリケーションエンジニア・プログラマ,システムエンジニア（Web・オープン系・パッケージ開発）
166,167,SE／インフラエンジニア／Webエンジニア,業務系アプリケーションエンジニア・プログラマ,システムエンジニア（汎用機系）
167,168,SE／インフラエンジニア／Webエンジニア,業務系アプリケーションエンジニア・プログラマ,プロジェクトマネジャー（Web・オープン系・パッケージ開発）
168,169,SE／インフラエンジニア／Webエンジニア,業務系アプリケーションエンジニア・プログラマ,アーキテクト
169,170,SE／インフラエンジニア／Webエンジニア,業務系アプリケーションエンジニア・プログラマ,パッケージ導入・システム導入
170,171,SE／インフラエンジニア／Webエンジニア,インフラエンジニア,サーバーエンジニア（設計構築）
171,172,SE／インフラエンジニア／Webエンジニア,インフラエンジニア,ネットワークエンジニア（設計構築）
172,173,SE／インフラエンジニア／Webエンジニア,インフラエンジニア,データベースエンジニア
173,174,SE／インフラエンジニア／Webエンジニア,インフラエンジニア,プロジェクトマネージャー（インフラ）
174,175,SE／インフラエンジニア／Webエンジニア,インフラエンジニア,Webサービスエンジニア（ネットワーク・サーバー・データベース）
175,176,SE／インフラエンジニア／Webエンジニア,インフラエンジニア,運用・監視・保守
176,177,SE／インフラエンジニア／Webエンジニア,サポート・ヘルプデスク,テクニカルサポート・カスタマーサポート（IT製品）
177,178,SE／インフラエンジニア／Webエンジニア,サポート・ヘルプデスク,ヘルプデスク
178,179,SE／インフラエンジニア／Webエンジニア,社内情報システム（社内SE）,システム開発・運用（アプリ担当）
179,180,SE／インフラエンジニア／Webエンジニア,社内情報システム（社内SE）,システム構築・運用（インフラ担当）
180,181,SE／インフラエンジニア／Webエンジニア,社内情報システム（社内SE）,IT戦略・システム企画担当
181,182,SE／インフラエンジニア／Webエンジニア,研究開発・R&D,研究開発（R&D）エンジニア
182,183,SE／インフラエンジニア／Webエンジニア,品質管理,QA・テスター
183,184,SE／インフラエンジニア／Webエンジニア,データサイエンティスト,データサイエンティスト・アナリスト
184,185,SE／インフラエンジニア／Webエンジニア,データサイエンティスト,データサイエンティスト・エンジニアリング
185,186,SE／インフラエンジニア／Webエンジニア,Webサービス系エンジニア・プログラマ,Webサービス・プロジェクトマネジャー
186,187,SE／インフラエンジニア／Webエンジニア,Webサービス系エンジニア・プログラマ,Webサービス系エンジニア（フロントエンド・サーバーサイド・フルスタック）
187,188,SE／インフラエンジニア／Webエンジニア,スマホアプリ・ネイティブアプリ系エンジニア,スマホアプリ・ネイティブアプリ系エンジニア
188,189,SE／インフラエンジニア／Webエンジニア,制御系ソフトウェア開発（通信・ネットワーク・IoT関連）,制御系ソフトウェア開発（通信・ネットワーク・IoT関連）
189,190,SE／インフラエンジニア／Webエンジニア,セキュリティエンジニア,セキュリティコンサルタント・アナリスト
190,191,SE／インフラエンジニア／Webエンジニア,セキュリティエンジニア,セキュリティエンジニア（脆弱性診断・ネットワークセキュリティ）
191,192,機械／電気,基礎研究・先行開発・要素技術開発,基礎研究・先行開発・要素技術開発（機械）
192,193,機械／電気,基礎研究・先行開発・要素技術開発,基礎研究・先行開発・要素技術開発（電気）
193,194,機械／電気,機械設計,機械・電子部品・コネクタ
194,195,機械／電気,機械設計,家電・AV・スマートフォン・携帯端末・複合機
195,196,機械／電気,機械設計,医療機器
196,197,機械／電気,機械設計,精密・計測・分析機器
197,198,機械／電気,機械設計,自動車・自動車部品
198,199,機械／電気,機械設計,工作機械・産業機械・ロボット
199,200,機械／電気,機械設計,半導体製造装置
200,201,機械／電気,機械設計,その他機械設計
201,202,機械／電気,機械設計,パチンコ・パチスロ・遊戯機器
202,203,機械／電気,機械設計,無線・通信機器
203,204,機械／電気,機械設計,建機・その他輸送機器
204,205,機械／電気,機械設計,プラント機器・設備
205,206,機械／電気,品質管理・品質保証,品質管理（機械）
206,207,機械／電気,品質管理・品質保証,品質管理（電気・電子・半導体）
207,208,機械／電気,品質管理・品質保証,品質保証（機械）
208,209,機械／電気,品質管理・品質保証,品質保証（電気・電子・半導体）
209,210,機械／電気,生産技術,工程設計・工法開発・工程改善・IE（機械・金属加工）
210,211,機械／電気,生産技術,設備立ち上げ・設計（電気・制御設計）
211,212,機械／電気,生産技術,設備保全
212,213,機械／電気,生産技術,工程設計・工法開発・工程改善・IE（樹脂成形）
213,214,機械／電気,生産技術,工程設計・工法開発・工程改善・IE（組立・アッセンブリ）
214,215,機械／電気,生産技術,工程設計・工法開発・工程改善・IE（その他）
215,216,機械／電気,生産技術,設備立ち上げ・設計（機械設計）
216,217,機械／電気,セールスエンジニア・アプリケーションエンジニア・FAE,家電・AV・携帯端末・複合機
217,218,機械／電気,セールスエンジニア・アプリケーションエンジニア・FAE,医療機器
218,219,機械／電気,セールスエンジニア・アプリケーションエンジニア・FAE,精密・計測・分析機器
219,220,機械／電気,セールスエンジニア・アプリケーションエンジニア・FAE,自動車・自動車部品
220,221,機械／電気,セールスエンジニア・アプリケーションエンジニア・FAE,建機・その他輸送機器
221,222,機械／電気,セールスエンジニア・アプリケーションエンジニア・FAE,半導体
222,223,機械／電気,セールスエンジニア・アプリケーションエンジニア・FAE,半導体製造装置
223,224,機械／電気,セールスエンジニア・アプリケーションエンジニア・FAE,その他セールスエンジニア・アプリケーションエンジニア・FAE
224,225,機械／電気,セールスエンジニア・アプリケーションエンジニア・FAE,基地局・無線機器・通信機器
225,226,機械／電気,セールスエンジニア・アプリケーションエンジニア・FAE,工作機械・産業機械・ロボット
226,227,機械／電気,セールスエンジニア・アプリケーションエンジニア・FAE,プラント機器・設備
227,228,機械／電気,セールスエンジニア・アプリケーションエンジニア・FAE,機械・電子部品・コネクタ
228,229,機械／電気,セールスエンジニア・アプリケーションエンジニア・FAE,ソフトウェア（CAD・CAM・CAE）
229,230,機械／電気,サービスエンジニア,自動車・航空・建機・その他輸送機器
230,231,機械／電気,サービスエンジニア,家電・AV・携帯端末・複合機
231,232,機械／電気,サービスエンジニア,医療機器
232,233,機械／電気,サービスエンジニア,精密・計測・分析機器
233,234,機械／電気,サービスエンジニア,工作機械・産業機械・ロボット
234,235,機械／電気,サービスエンジニア,半導体製造装置
235,236,機械／電気,サービスエンジニア,その他サービスエンジニア
236,237,機械／電気,サービスエンジニア,基地局・無線機器・通信機器
237,238,機械／電気,サービスエンジニア,機械・電子部品
238,239,機械／電気,サービスエンジニア,プラント機器・設備
239,240,機械／電気,その他技術職（機械・電気）,その他技術職（機械・電気）
240,241,機械／電気,CADオペレーター（機械）,CADオペレーター（機械）
241,242,機械／電気,光学設計,光学設計
242,243,機械／電気,CAE解析,CAE解析（熱・流体）
243,244,機械／電気,CAE解析,CAE解析（構造・応力・衝突・振動）
244,245,機械／電気,CAE解析,CAE解析（電磁界・電磁場）
245,246,機械／電気,回路設計,アナログ（電源）
246,247,機械／電気,回路設計,アナログ（パワーエレクトロニクス）
247,248,機械／電気,回路設計,アナログ（高周波・RF・通信）
248,249,機械／電気,回路設計,アナログ（その他アナログ）
249,250,機械／電気,回路設計,デジタル（マイコン・CPU・DSP）
250,251,機械／電気,回路設計,デジタル（FPGA）
251,252,機械／電気,回路設計,デジタル（その他デジタル）
252,253,機械／電気,回路設計,半導体・IC（アナログ）
253,254,機械／電気,回路設計,半導体・IC（デジタル）
254,255,機械／電気,回路設計,半導体・IC（メモリ）
255,256,機械／電気,回路設計,半導体・IC（その他IC）
256,257,機械／電気,回路設計,レイアウト設計
257,258,機械／電気,電気設計・シーケンス制御,シーケンス制御（PLC・シーケンス・ラダー）
258,259,機械／電気,電気設計・シーケンス制御,電気設計（工作機械・装置・設備・制御盤など）
259,260,機械／電気,評価・実験,評価・実験（機械）
260,261,機械／電気,評価・実験,評価・実験（電気・電子・半導体）
261,262,機械／電気,製品企画・プロジェクトマネージャー,製品企画・プロジェクトマネージャー（電気）
262,263,機械／電気,製品企画・プロジェクトマネージャー,製品企画・プロジェクトマネージャー（機械）
263,264,機械／電気,金型設計,プレス金型
264,265,機械／電気,金型設計,射出成型金型
265,266,機械／電気,金型設計,その他金型設計
266,267,機械／電気,製造（溶接・加工・組立など）,機械・金属加工
267,268,機械／電気,製造（溶接・加工・組立など）,組立・その他製造職
268,269,機械／電気,生産管理・工場長,生産管理
269,270,機械／電気,生産管理・工場長,工場長
270,271,機械／電気,デバイス開発（半導体・太陽光・液晶・LEDなど）,デバイス開発（パワー半導体）
271,272,機械／電気,デバイス開発（半導体・太陽光・液晶・LEDなど）,デバイス開発（LED・発光デバイス・光半導体）
272,273,機械／電気,デバイス開発（半導体・太陽光・液晶・LEDなど）,デバイス開発（メモリ）
273,274,機械／電気,デバイス開発（半導体・太陽光・液晶・LEDなど）,デバイス開発（その他半導体）
274,275,機械／電気,デバイス開発（半導体・太陽光・液晶・LEDなど）,デバイス開発（太陽光・液晶など）
275,276,機械／電気,デバイス開発（半導体・太陽光・液晶・LEDなど）,デバイス開発（センサー）
276,277,機械／電気,プロセスエンジニア（半導体・太陽光・液晶・LEDなど）,プロセスインテグレーション
277,278,機械／電気,プロセスエンジニア（半導体・太陽光・液晶・LEDなど）,プロセスエンジニア（前工程）
278,279,機械／電気,プロセスエンジニア（半導体・太陽光・液晶・LEDなど）,プロセスエンジニア（後工程）
279,280,機械／電気,整備士,整備士（自動車・建機・航空機など）
280,281,機械／電気,テクニカルライター,テクニカルライター
281,282,組み込みソフトウェア,基礎研究・先行開発・要素技術開発（組み込みソフトウエア）,基礎研究・先行開発・要素技術開発
282,283,組み込みソフトウェア,プロジェクトマネージャー（組み込みソフトウエア）,プロジェクトマネージャー
283,284,組み込みソフトウェア,アプリケーション・ミドルウェア・デバイスドライバ・ファームウェア,機械・電子部品
284,285,組み込みソフトウェア,アプリケーション・ミドルウェア・デバイスドライバ・ファームウェア,家電・AV機器・複合機
285,286,組み込みソフトウェア,アプリケーション・ミドルウェア・デバイスドライバ・ファームウェア,パチンコ・パチスロ・遊戯機器
286,287,組み込みソフトウェア,アプリケーション・ミドルウェア・デバイスドライバ・ファームウェア,医療機器
287,288,組み込みソフトウェア,アプリケーション・ミドルウェア・デバイスドライバ・ファームウェア,スマホアプリ・ネイティブアプリ系エンジニア
